X (Hz),Y (dBV),
26919.9,-91.45677,
26958.09,-91.23916,
26996.27,-90.31501,
27034.46,-90.60677,
27072.64,-88.22972,
27110.83,-92.85997,
27149.01,-92.95434,
27187.19,-93.69348,
27225.38,-92.3535,
27263.56,-92.32384,
27301.75,-92.7438,
27339.93,-92.48143,
27378.12,-92.40915,
27416.3,-92.35876,
27454.48,-92.12889,
27492.67,-92.4226,
27530.85,-92.56196,
27569.04,-92.19347,
27607.22,-92.38216,
27645.4,-92.17923,
27683.59,-92.41286,
27721.77,-92.36846,
27759.96,-92.22833,
27798.14,-92.17323,
27836.33,-92.42851,
27874.51,-92.31498,
27912.7,-92.49817,
27950.88,-92.29831,
27989.06,-92.0073,
28027.25,-92.94697,
28065.43,-92.47655,
28103.62,-90.40539,
28141.8,-92.1274,
28179.98,-92.7275,
28218.17,-92.00138,
28256.35,-92.33125,
28294.54,-92.35909,
28332.72,-92.46661,
28370.91,-92.53827,
28409.09,-92.30913,
28447.28,-92.34521,
28485.46,-92.5703,
28523.64,-92.64312,
28561.83,-92.41925,
28600.01,-92.51872,
28638.2,-92.39288,
28676.38,-92.57737,
28714.56,-92.69073,
28752.75,-92.39088,
28790.93,-92.56117,
28829.12,-92.81838,
28867.3,-92.71912,
28905.49,-92.47913,
28943.67,-92.66975,
28981.85,-92.40013,
29020.04,-94.22319,
29058.22,-93.07648,
29096.41,-91.4581,
29134.59,-91.31227,
29172.78,-92.93794,
29210.96,-91.93162,
29249.14,-92.42155,
29287.33,-92.84469,
29325.51,-92.5921,
29363.7,-92.55356,
29401.88,-92.41202,
29440.07,-92.71973,
29478.25,-92.92113,
29516.43,-92.70982,
29554.62,-92.3741,
29592.8,-92.73567,
29630.99,-92.64787,
29669.17,-92.8886,
29707.36,-92.60783,
29745.54,-92.47608,
29783.72,-92.65171,
29821.91,-92.85892,
29860.09,-92.68019,
29898.28,-92.65617,
29936.46,-92.53856,
29974.64,-92.58652,
30012.83,-92.96346,
30051.01,-91.99134,
30089.2,-91.19406,
30127.38,-93.16306,
30165.57,-93.22689,
30203.75,-92.43058,
30241.94,-92.99232,
30280.12,-92.95815,
30318.3,-92.87111,
30356.49,-92.88293,
30394.67,-92.7668,
